2026-08-13 02:52:33,polygons,100000,4096,0.134000,1.655000,0.379000,2.168000,2334538,0
2026-08-13 02:52:42,polygons,100000,8192,0.126000,6.945000,1.603000,8.674000,9331699,0
2026-08-13 02:53:15,polygons,100000,16384,0.124000,26.027000,6.766000,32.917000,37321693,0
2026-08-13 02:53:25,polygons,500000,4096,0.646000,8.751000,0.385000,9.782000,2688725,0
2026-08-13 02:54:03,polygons,500000,8192,0.637000,35.388000,1.812000,37.837000,10748197,0
2026-08-13 02:56:27,polygons,500000,16384,0.668000,137.295000,6.612000,144.575000,42984841,0
2026-08-13 02:56:45,polygons,1000000,4096,1.355000,16.239000,0.411000,18.005000,2821575,0
2026-08-13 02:57:55,polygons,1000000,8192,1.499000,67.073000,1.611000,70.183000,11276976,0
2026-08-13 03:02:28,polygons,1000000,16384,1.316000,264.623000,6.841000,272.780000,45098335,0
2026-08-13 03:03:55,polygons,5000000,4096,6.736000,79.381000,0.397000,86.514000,3099326,0
2026-08-13 03:09:35,polygons,5000000,8192,6.627000,332.145000,1.675000,340.447000,12386629,0
2026-08-13 03:31:40,polygons,5000000,16384,6.543000,1311.693000,6.525000,1324.761000,49535082,0
2026-08-13 03:34:30,polygons,10000000,4096,13.309000,155.712000,0.431000,169.452000,3210393,0
2026-08-13 03:45:44,polygons,10000000,8192,13.274000,659.119000,1.657000,674.050000,12829050,0
2026-08-13 04:29:44,polygons,10000000,16384,13.480000,2619.084000,7.212000,2639.776000,51302596,0
2026-08-13 04:44:50,polygons,50000000,4096,71.561000,833.728000,0.429000,905.718000,3456167,0
2026-08-13 05:40:55,polygons,50000000,8192,70.937000,3292.592000,1.633000,3365.162000,13810626,0
