datetime,feature,count,grid,gen_s,rast_s,enc_s,total_s,pixels_on,optimised
2026-08-12 11:52:56,polygons,5000000,4096,6.414000,86.153000,0.415000,92.982000,3099326,
2026-08-12 11:56:02,polygons,10000000,4096,12.772000,172.841000,0.445000,186.058000,3210393,
2026-08-12 12:11:01,polygons,50000000,4096,69.556000,829.592000,0.393000,899.541000,3456167,
2026-08-12 12:46:01,polygons,100000000,4096,173.126000,1925.461000,0.378000,2098.965000,3562158,
2026-08-12 12:55:42,polygons,1,100,0.077000,0.000000,0.001000,0.078000,0,
2026-08-12 12:56:03,polygons,10,100,0.000000,0.000000,0.002000,0.002000,28,
2026-08-12 12:56:19,polygons,2,100,0.001000,0.000000,0.002000,0.003000,5,
2026-08-12 12:56:29,polygons,1,100,0.001000,0.000000,0.002000,0.003000,0,
2026-08-12 12:56:36,polygons,1,100,0.001000,0.000000,0.002000,0.003000,0,
2026-08-12 12:56:42,polygons,2,100,0.001000,0.000000,0.002000,0.003000,5,
2026-08-12 12:57:45,polygons,1,100,0.001000,0.000000,0.001000,0.002000,0,
2026-08-12 13:15:20,polygons,2,100,0.001000,0.000000,0.003000,0.004000,0,
2026-08-12 13:15:49,polygons,100,100,0.000000,0.001000,0.001000,0.002000,0,
2026-08-12 13:16:17,polygons,100,100,0.002000,0.000000,0.003000,0.005000,357,
2026-08-12 13:57:44,polygons,10000,4096,0.018000,0.204000,0.493000,0.715000,1749039,
2026-08-12 13:57:45,polygons,10000,4096,0.014000,0.193000,0.554000,0.761000,1749039,
2026-08-12 13:59:09,polygons,100,256,0.001000,0.002000,0.010000,0.013000,1544,
2026-08-12 14:01:46,polygons,100000,4096,0.143000,1.630000,0.397000,2.170000,2334538,
2026-08-12 14:01:55,polygons,100000,4096,0.140000,1.585000,0.376000,2.101000,2334538,
2026-08-12 14:02:13,polygons,100000,4096,0.123000,1.585000,0.404000,2.112000,2334538,
2026-08-12 14:02:17,polygons,100000,4096,0.160000,1.555000,0.392000,2.107000,2334538,
2026-08-12 14:02:21,polygons,100000,4096,0.130000,1.615000,0.410000,2.155000,2334538,
2026-08-12 14:02:26,polygons,100000,4096,0.137000,1.627000,0.388000,2.152000,2334538,
2026-08-12 14:02:29,polygons,100000,4096,0.126000,1.557000,0.395000,2.078000,2334538,
2026-08-12 14:02:33,polygons,100000,4096,0.130000,1.548000,0.402000,2.080000,2334538,
