epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,780.358,0.99235,0.58479,0.85976,0.85716,0.79892,0.84249,0.57672,1.13753,0.98441,0.91156,0.000307,0.000307,0.000307
44,797.674,1.02152,0.60084,0.85727,0.86671,0.78583,0.84019,0.57767,1.12443,0.91549,0.9014,0.0002905,0.0002905,0.0002905
45,814.982,0.98383,0.58334,0.8611,0.87408,0.77315,0.83049,0.58977,1.09008,0.90483,0.88823,0.000274,0.000274,0.000274
46,832.339,0.98207,0.56035,0.86264,0.82864,0.80486,0.82696,0.59855,1.06619,0.93378,0.89171,0.0002575,0.0002575,0.0002575
47,850.909,0.98118,0.56928,0.85919,0.78139,0.81447,0.82742,0.55958,1.10045,0.92599,0.89874,0.000241,0.000241,0.000241
48,869.533,0.99012,0.58711,0.86037,0.86491,0.75576,0.83066,0.58631,1.12345,0.91112,0.92366,0.0002245,0.0002245,0.0002245
49,887.412,0.98114,0.5867,0.86108,0.8,0.83429,0.83818,0.57939,1.12463,0.89482,0.91061,0.000208,0.000208,0.000208
50,904.789,0.96057,0.56656,0.85603,0.85059,0.78784,0.83553,0.58859,1.11096,0.88301,0.90339,0.0001915,0.0001915,0.0001915
51,924.422,0.94144,0.55252,0.8564,0.82723,0.78939,0.82355,0.58422,1.12487,0.90376,0.90827,0.000175,0.000175,0.000175
52,942.072,0.92947,0.54348,0.85414,0.80588,0.79996,0.82275,0.56751,1.11756,0.9583,0.89726,0.0001585,0.0001585,0.0001585
53,958.135,0.9228,0.52426,0.85405,0.80404,0.8094,0.82592,0.56661,1.1268,0.95414,0.90311,0.000142,0.000142,0.000142
54,975.012,0.92153,0.53786,0.84712,0.83092,0.7955,0.81672,0.58402,1.10824,0.94429,0.90336,0.0001255,0.0001255,0.0001255
55,991.841,0.91877,0.51028,0.84108,0.86594,0.77879,0.81974,0.56726,1.08607,0.96501,0.89737,0.000109,0.000109,0.000109
56,1008.65,0.90722,0.50651,0.84881,0.86394,0.77174,0.81597,0.57463,1.09915,0.9469,0.89749,9.25e-05,9.25e-05,9.25e-05
57,1025.19,0.88646,0.47764,0.8573,0.87649,0.76776,0.81902,0.56089,1.08736,0.95296,0.90129,7.6e-05,7.6e-05,7.6e-05
58,1041.77,0.87586,0.48066,0.84306,0.86527,0.77634,0.82279,0.57252,1.09139,0.94845,0.90438,5.95e-05,5.95e-05,5.95e-05
59,1057.87,0.86968,0.49008,0.84386,0.87213,0.76699,0.81704,0.5795,1.0774,0.95311,0.90263,4.3e-05,4.3e-05,4.3e-05
60,1074.13,0.86639,0.47762,0.84591,0.85993,0.7779,0.81872,0.57598,1.0758,0.95008,0.90187,2.65e-05,2.65e-05,2.65e-05
